Adduct	Compound_Name	SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ_x	SpecCharge	FileScanUniqueID	NumberHits	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
[2M-2H2O+NH4]+	Ethylphenidate_sus	CCMSLIB00012251625	94258	spectra_filtered.mgf	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	0.941918	246349000	0	3.13936	7	0.00149536	476.328	1	temp/spectra_filtered.mgf94258	1	LC-ESI	Orbitrap	Commercial	Pieter C. Dorrestein	Nina Haoqi Zhao	476.327	247.157	1			CCOC(=O)C(c1ccccc1)C1CCCCN1	"""InChI=1S/C15H21NO2/c1-2-18-15(17)14(12-8-4-3-5-9-12)13-10-6-7-11-16-13/h3-5,8-9,13-14,16H,2,6-7,10-11H2,1H3"""	AIVSIRYZIBXTMM-UHFFFAOYSA-N	1	Positive	PRIVATE-LIB	476.327	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C15H21NO2	AIVSIRYZIBXTMM-UHFFFAOYSA-N	AIVSIRYZIBXTMM	Organic nitrogen compounds	Organonitrogen compounds	Amines	Lysine alkaloids	Piperidine alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012251625
[2M-H2O+2H]+2	chloroquine	CCMSLIB00012272131	71432	spectra_filtered.mgf	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	0.93434	24714200000	0	3.92277	11	0.0012207	311.185	1	temp/spectra_filtered.mgf71432	1	LC-ESI	Orbitrap	Commercial	Pieter C. Dorrestein	Nina Haoqi Zhao	311.184	319.182	1			CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2ncc1	"""InChI=1S/C18H26ClN3/c1-4-22(5-2)12-6-7-14(3)21-17-10-11-20-18-13-15(19)8-9-16(17)18/h8-11,13-14H,4-7,12H2,1-3H3,(H,20,21)"""	WHTVZRBIWZFKQO-UHFFFAOYSA-N	1	Positive	PRIVATE-LIB	311.184	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C18H26ClN3	WHTVZRBIWZFKQO-UHFFFAOYSA-N	WHTVZRBIWZFKQO	Organoheterocyclic compounds	Quinolines and derivatives	Aminoquinolines and derivatives			Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012272131
[2M-H2O+2H]+2	diphenhydramine_sus	CCMSLIB00012269547	74894	spectra_filtered.mgf	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	0.9791	256110000	0	8.88991	7	0.00219727	247.166	1	temp/spectra_filtered.mgf74894	1	LC-ESI	Orbitrap	Commercial	Pieter C. Dorrestein	Nina Haoqi Zhao	247.164	255.162	1			CN(C)CCOC(c1ccccc1)c1ccccc1	"""InChI=1S/C17H21NO/c1-18(2)13-14-19-17(15-9-5-3-6-10-15)16-11-7-4-8-12-16/h3-12,17H,13-14H2,1-2H3"""	ZZVUWRFHKOJYTH-UHFFFAOYSA-N	1	Positive	PRIVATE-LIB	247.164	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C17H21NO	ZZVUWRFHKOJYTH-UHFFFAOYSA-N	ZZVUWRFHKOJYTH	Benzenoids	Benzene and substituted derivatives	Diphenylmethanes	Pseudoalkaloids	Phenylalanine-derived alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012269547
[M+2H]+2	CINTAZONE	CCMSLIB00012257109	99031	spectra_filtered.mgf	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	0.873363	12410000	0	4.64536	6	0.000808716	174.09	1	temp/spectra_filtered.mgf99031	1	LC-ESI	Orbitrap	Commercial	Pieter C. Dorrestein	Nina Haoqi Zhao	174.091	346.168	1			CCCCCC1C(=O)N2C=C(c3ccccc3)c3ccccc3N2C1=O	"""InChI=1S/C22H22N2O2/c1-2-3-5-13-18-21(25)23-15-19(16-10-6-4-7-11-16)17-12-8-9-14-20(17)24(23)22(18)26/h4,6-12,14-15,18H,2-3,5,13H2,1H3"""	KATBVKFXGKGUFE-UHFFFAOYSA-N	1	Positive	PRIVATE-LIB	174.091	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C22H22N2O2	KATBVKFXGKGUFE-UHFFFAOYSA-N	KATBVKFXGKGUFE	Organoheterocyclic compounds	Diazines	Pyridazines and derivatives				mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012257109
[M+H]+	"Massbank:EA023609 4-Acetamidoantipyrine|N-(1,5-dimethyl-3-oxidanylidene-2-phenyl-pyrazol-4-yl)ethanamide"	CCMSLIB00000207647	21530	spectra_filtered.mgf	MASSBANK.mgf	0.950469	606400000	0	0.371978	12	9.16E-05	246.124	1	temp/spectra_filtered.mgf21530	1	ESI	LC-ESI-ITFT	Isolated	Putative Massbank Match	Massbank	246.124	0	1	83-15-8		CC(=O)NC=2C(=O)N(c1ccccc1)N(C)C=2C	"1S/C13H15N3O2/c1-9-12(14-10(2)17)13(18)16(15(9)3)11-7-5-4-6-8-11/h4-8H,1-3H3,(H,14,17)"		3	Positive	MASSBANK	246.124	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C13H15N3O2	OIAGWXKSCXPNNZ-UHFFFAOYSA-N	OIAGWXKSCXPNNZ	Organoheterocyclic compounds	Azoles	Pyrazoles	Anthranilic acid alkaloids	Quinoline alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000207647
[M+H]+	"Massbank:EA103809 4-Formylaminoantipyrine|N-(1,5-dimethyl-3-oxidanylidene-2-phenyl-pyrazol-4-yl)methanamide"	CCMSLIB00000209409	13942	spectra_filtered.mgf	MASSBANK.mgf	0.919251	30190000	0	1.3148	10	0.000305176	232.108	1	temp/spectra_filtered.mgf13942	1	ESI	LC-ESI-ITFT	Isolated	Putative Massbank Match	Massbank	232.108	0	1	1672-58-8		O=C2C(\NC=O)=C(\C)N(C)N2c1ccccc1	"1S/C12H13N3O2/c1-9-11(13-8-16)12(17)15(14(9)2)10-6-4-3-5-7-10/h3-8H,1-2H3,(H,13,16)"		3	Positive	MASSBANK	232.108	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C12H13N3O2	WSJBSKRPKADYRQ-UHFFFAOYSA-N	WSJBSKRPKADYRQ	Organoheterocyclic compounds	Azoles	Pyrazoles	Anthranilic acid alkaloids	Quinazoline alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000209409
[M+H]+	Albendazole oxide	CCMSLIB00012268735	23169	spectra_filtered.mgf	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	0.906903	36970000	0	0	5	0	282.091	1	temp/spectra_filtered.mgf23169	1	LC-ESI	Orbitrap	Commercial	Pieter C. Dorrestein	Nina Haoqi Zhao	282.091	281.083	1			CCC[S+]([O-])c1ccc2nc(NC(=O)OC)[nH]c2c1	"""InChI=1S/C12H15N3O3S/c1-3-6-19(17)8-4-5-9-10(7-8)14-11(13-9)15-12(16)18-2/h4-5,7H,3,6H2,1-2H3,(H2,13,14,15,16)"""	VXTGHWHFYNYFFV-UHFFFAOYSA-N	1	Positive	PRIVATE-LIB	282.091	UPDATE-SINGLE-ANNOTATED-GOLD	Gold			VXTGHWHFYNYFFV-UHFFFAOYSA-N	VXTGHWHFYNYFFV							mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012268735
[M+H]+	"Massbank:EA282110 Amitriptyline|3-(10,11-Dihydro-5H-dibenzo[a,d][7]annulen-5-ylidene)-N,N-dimethyl-1-propanamine"	CCMSLIB00000211521	57163	spectra_filtered.mgf	MASSBANK.mgf	0.99166	47810000000	0	1.097	11	0.000305176	278.19	1	temp/spectra_filtered.mgf57163	1	ESI	LC-ESI-ITFT	Isolated	Putative Massbank Match	Massbank	278.19	0	1	50-48-6		C1(\c2c(CCc3c1cccc3)cccc2)=C\CCN(C)C	"1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3"		3	Positive	MASSBANK	278.19	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C20H23N	KRMDCWKBEZIMAB-UHFFFAOYSA-N	KRMDCWKBEZIMAB							mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000211521
[M+H]+	Massbank:EA069714 Atenolol acid|Metoprolol acid|4-(2-Hydroxy-3-((1-methylethyl)amino)propoxy)benzeneacetic acid	CCMSLIB00000208991	1906	spectra_filtered.mgf	MASSBANK.mgf	0.918713	36080000	0	1.47948	9	0.000396729	268.154	1	temp/spectra_filtered.mgf1906	1	ESI	LC-ESI-ITFT	Isolated	Putative Massbank Match	Massbank	268.154	0	1	56392-14-4		CC(C)NCC(O)COc1ccc(cc1)CC(=O)O	"1S/C14H21NO4/c1-10(2)15-8-12(16)9-19-13-5-3-11(4-6-13)7-14(17)18/h3-6,10,12,15-16H,7-9H2,1-2H3,(H,17,18)"		3	Positive	MASSBANK	268.154	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C14H21NO4	PUQIRTNPJRFRCZ-UHFFFAOYSA-N	PUQIRTNPJRFRCZ				Pseudoalkaloids	Phenylalanine-derived alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000208991
[M+H]+	MassbankEU:ET290202 BEZ-M	CCMSLIB00000841390	76354	spectra_filtered.mgf	MASSBANKEU.mgf	0.898032	36912000	0	1.29817	9	0.000488281	376.132	1	temp/spectra_filtered.mgf76354	1	ESI	LC-ESI-QFT	Isolated	Massbank EU	Massbank	376.131	0	1			CC(C(OC)=O)(OC1=CC=C(CCNC(C2=CC=C(Cl)C=C2)=O)C=C1)C	"1S/C20H22ClNO4/c1-20(2,19(24)25-3)26-17-10-4-14(5-11-17)12-13-22-18(23)15-6-8-16(21)9-7-15/h4-11H,12-13H2,1-3H3,(H,22,23)"		3	Positive	MASSBANKEU	376.131	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C20H22ClNO4	KDYYGGKDZBRIIX-UHFFFAOYSA-N	KDYYGGKDZBRIIX	Benzenoids	Benzene and substituted derivatives	Phenoxyacetic acid derivatives			Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00000841390
