filename	Owner	Submitter	Sample Collector	MassIVE ID	ATTRIBUTE_batch	ATTRIBUTE_region	ATTRIBUTE_type	ATTRIBUTE_descriptor	ATTRIBUTE_dataset	ATTRIBUTE_ecosystem	ATTRIBUTE_Year	ATTRIBUTE_Latitude	ATTRIBUTE_Longitude	ATTRIBUTE_Depth	ATTRIBUTE_Volume	ATTRIBUTE_SPEcartridge	ATTRIBUTE_Filtration
RT_Jake_1_1.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
RT_Jake_1_2.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
RT_Jake_1_3.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
RT_Jake_2_1.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
RT_Jake_2_2.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
RT_Jake_2_3.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
RT_Jake_AH1_1.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
RT_Jake_AH1_2.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
RT_Jake_AH1_3.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
RT_Jake_AH2_1.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
RT_Jake_AH2_2.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
RT_Jake_AH2_3.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
RT_Jake_B1_1.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
RT_Jake_B1_2.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
RT_Jake_B1_3.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
RT_Jake_B2_1.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
RT_Jake_B2_2.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
RT_Jake_B2_3.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
RT_Jake_EE1_1.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
RT_Jake_EE1_2.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
RT_Jake_EE1_3.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
RT_Jake_EE2_1.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
RT_Jake_EE2_2.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
RT_Jake_EE2_3.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	SAMPLE	Northern San Diego Coast 2020	Northern San Diego Coast 2020	Coastal	2020	33.1485688	-117.3329169	BLANK	BLANK	PPL	none
XA_DOM_30.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.86258	25.62793	surface	1	"PPL 200mg, acidified"	none
XA_DOM_31.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.86258	25.62793	surface	1	"PPL 200mg, acidified"	none
XA_DOM_32.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.8566	25.5975	surface	1	"PPL 200mg, acidified"	none
XA_DOM_33.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.8566	25.5975	surface	1	"PPL 200mg, acidified"	none
XA_DOM_22.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.85397	25.61175	surface	1	"PPL 200mg, acidified"	none
XA_DOM_23.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.85397	25.61175	surface	1	"PPL 200mg, acidified"	none
