filename	Owner	Submitter	Sample Collector	MassIVE ID	ATTRIBUTE_batch	ATTRIBUTE_region	ATTRIBUTE_descriptor	ATTRIBUTE_type	ATTRIBUTE_type2	ATTRIBUTE_Year	ATTRIBUTE_Latitude	ATTRIBUTE_Longitude	ATTRIBUTE_Depth	ATTRIBUTE_ecosystem	ATTRIBUTE_Volume	ATTRIBUTE_SPEcartridge	ATTRIBUTE_Filtration	ATTRIBUTE_Depth_bucket	ATTRIBUTE_distance_to_coast_m	ATTRIBUTE_distancetocoast_bucket	ATTRIBUTE_distance_to_coast_km
RT_Jake_1_1.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
RT_Jake_1_2.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
RT_Jake_1_3.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
RT_Jake_2_1.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
RT_Jake_2_2.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
RT_Jake_2_3.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
RT_Jake_AH1_1.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
RT_Jake_AH1_2.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
RT_Jake_AH1_3.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
RT_Jake_AH2_1.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
